Source,Target,Weight
"33","8",3
"33","10",2
"33","18",2
"33","21",11
"33","25",10
"33","26",23
"33","27",12
"33","30",9
"33","44",18
"33","45",11
"33","5",3
"33","14",5
"33","17",5
"33","4",11
"33","20",2
"33","29",1
"33","5",1
"8","33",1
"8","10",2
"8","18",10
"8","21",10
"8","25",15
"8","26",6
"8","27",9
"8","30",26
"8","44",6
"8","45",17
"8","5",1
"8","14",14
"8","9",3
"8","17",5
"8","4",6
"8","20",1
"8","29",2
"8","5",4
"8","1",1
"10","8",2
"10","21",6
"10","25",2
"10","26",4
"10","27",3
"10","30",2
"10","44",2
"10","45",4
"10","5",1
"10","14",5
"10","17",1
"10","4",1
"10","20",1
"10","29",2
"10","5",6
"18","8",6
"18","10",2
"18","21",5
"18","25",5
"18","26",4
"18","27",4
"18","30",11
"18","44",3
"18","45",8
"18","5",2
"18","14",4
"18","9",1
"21","33",2
"21","8",18
"21","10",11
"21","18",3
"21","25",11
"21","26",14
"21","27",11
"21","30",7
"21","44",4
"21","45",28
"21","5",12
"21","14",19
"21","29",1
"21","17",5
"21","4",14
"21","5",8
"21","1",1
"21","20",3
"25","33",6
"25","8",21
"25","18",6
"25","21",7
"25","26",9
"25","27",45
"25","30",47
"25","44",41
"25","45",24
"25","5",1
"25","14",25
"25","9",4
"25","17",5
"25","4",14
"25","20",2
"25","5",7
"25","1",1
"26","33",29
"26","8",7
"26","10",4
"26","18",3
"26","21",18
"26","25",11
"26","27",23
"26","30",2
"26","44",18
"26","45",33
"26","5",5
"26","14",6
"26","17",2
"26","4",10
"26","20",18
"26","1",4
"26","5",12
"27","33",11
"27","8",15
"27","10",5
"27","18",1
"27","21",13
"27","25",39
"27","26",23
"27","30",40
"27","44",22
"27","45",52
"27","5",2
"27","14",14
"27","9",2
"27","17",12
"27","4",23
"27","20",10
"27","29",1
"27","5",14
"27","1",1
"30","33",3
"30","8",20
"30","10",1
"30","18",9
"30","21",13
"30","25",45
"30","26",7
"30","27",29
"30","44",11
"30","45",24
"30","5",4
"30","14",28
"30","17",20
"30","4",4
"30","20",4
"30","5",15
"30","83",1
"44","33",35
"44","8",4
"44","10",3
"44","18",2
"44","21",8
"44","25",27
"44","26",14
"44","27",23
"44","30",11
"44","45",19
"44","5",4
"44","14",6
"44","9",2
"44","17",2
"44","4",9
"44","5",1
"44","20",2
"45","33",8
"45","8",21
"45","10",8
"45","18",12
"45","21",31
"45","25",36
"45","26",23
"45","27",38
"45","30",32
"45","44",13
"45","5",11
"45","14",35
"45","9",3
"45","17",16
"45","4",9
"45","20",21
"45","29",1
"45","5",22
"5","33",1
"5","8",1
"5","18",2
"5","21",2
"5","25",1
"5","26",5
"5","27",8
"5","30",7
"5","45",25
"5","14",5
"5","17",4
"5","4",1
"5","22",2
"5","20",6
"14","8",17
"14","10",11
"14","18",11
"14","21",13
"14","25",18
"14","26",2
"14","27",18
"14","30",25
"14","44",1
"14","45",40
"14","5",9
"14","17",6
"14","4",14
"14","20",7
"14","29",1
"14","5",12
"29","27",1
"9","8",4
"9","21",1
"9","25",2
"9","27",1
"9","45",3
"9","14",2
"17","5",4
"17","8",1
"17","21",4
"17","25",6
"17","26",2
"17","27",7
"17","30",12
"17","44",1
"17","45",10
"17","9",1
"17","14",14
"17","4",1
"17","10",2
"17","20",2
"17","5",6
"4","33",8
"4","5",2
"4","14",10
"4","17",6
"4","21",13
"4","25",11
"4","26",9
"4","27",23
"4","30",14
"4","44",10
"4","45",9
"4","20",11
"4","8",5
"4","5",18
"4","1",7
"4","83",1
"20","33",4
"20","4",6
"20","5",12
"20","14",9
"20","17",4
"20","25",1
"20","26",15
"20","27",9
"20","30",2
"20","45",16
"20","8",1
"20","10",1
"20","5",11
"20","44",1
"20","1",2
"20","21",9
"29","10",1
"5","33",3
"5","4",18
"5","14",16
"5","17",3
"5","20",17
"5","25",2
"5","27",19
"5","30",16
"5","44",2
"5","45",20
"5","8",7
"5","10",4
"5","29",1
"5","21",5
"5","1",2
"5","26",3
"1","4",4
"1","5",1
"1","17",4
"1","20",2
"1","25",2
"1","26",6
"1","30",1
