Source,Target,Weight
"1774","1775",4
"1774","1776",3
"1774","124",1
"1774","1780",2
"1774","1781",5
"1774","1782",5
"1774","1783",2
"1774","1828",1
"1775","1774",2
"1775","1776",7
"1775","124",2
"1775","1777",7
"1775","1778",5
"1775","1779",8
"1775","1780",12
"1775","1781",10
"1775","1782",9
"1775","1783",8
"1775","1784",4
"1775","1785",1
"1775","1828",2
"1776","1774",2
"1776","1775",10
"1776","124",4
"1776","1777",4
"1776","1778",2
"1776","1779",2
"1776","1780",9
"1776","1781",7
"1776","1782",4
"1776","1783",3
"1776","1784",2
"1776","1828",1
"124","1775",2
"124","1776",1
"124","1777",2
"124","1778",6
"124","1779",2
"124","1780",2
"124","1781",1
"124","1782",2
"124","1783",5
"124","1784",1
"1777","1775",3
"1777","1776",2
"1777","124",3
"1777","1778",2
"1777","1779",5
"1777","1780",4
"1777","1781",1
"1777","1782",4
"1777","1783",2
"1777","1784",1
"1777","1828",2
"1778","1775",5
"1778","1776",4
"1778","124",2
"1778","1777",3
"1778","1779",3
"1778","1780",6
"1778","1781",3
"1778","1783",3
"1779","1774",1
"1779","1775",4
"1779","1776",1
"1779","124",2
"1779","1777",3
"1779","1778",3
"1779","1780",3
"1779","1781",2
"1779","1782",1
"1779","1783",5
"1779","1784",2
"1779","1828",1
"1780","1774",2
"1780","1775",9
"1780","1776",8
"1780","124",2
"1780","1777",5
"1780","1778",4
"1780","1779",5
"1780","1781",11
"1780","1782",8
"1780","1783",8
"1780","1785",2
"1781","1774",9
"1781","1775",10
"1781","1776",11
"1781","124",2
"1781","1777",2
"1781","1778",3
"1781","1779",4
"1781","1780",9
"1781","1783",7
"1781","1828",2
"1782","1774",3
"1782","1775",8
"1782","1776",5
"1782","124",1
"1782","1777",3
"1782","1778",4
"1782","1779",2
"1782","1780",7
"1782","1781",2
"1782","1783",2
"1782","1784",1
"1782","1828",2
"1783","1774",2
"1783","1775",9
"1783","1776",1
"1783","124",3
"1783","1777",2
"1783","1778",5
"1783","1779",5
"1783","1780",6
"1783","1781",6
"1783","1784",2
"1783","1785",2
"1783","1786",1
"1783","1828",2
"1784","1775",2
"1784","1777",1
"1784","1779",3
"1784","1781",1
"1784","1782",2
"1784","1783",1
"1784","1786",1
"1784","1828",2
"1785","1780",1
"1785","1783",2
"1786","124",2
"1828","1775",2
"1828","1776",2
"1828","124",2
"1828","1777",1
"1828","1779",1
"1828","1781",1
"1828","1782",1
"1828","1784",2
"1828","1786",2
