Source,Target,Weight
"541","757",4
"541","734",1
"541","552",2
"541","1091",1
"541","1092",2
"541","546",1
"541","547",5
"541","550",1
"541","1093",1
"541","1094",1
"541","3",1
"541","611",2
"541","545",1
"541","423",1
"541","744",1
"541","544",1
"541","1237",1
"541","1240",1
"757","541",3
"757","734",3
"757","552",1
"757","1091",1
"757","1092",2
"757","546",4
"757","547",5
"757","550",4
"757","1093",4
"757","1094",2
"757","3",2
"757","611",5
"757","689",1
"757","545",2
"757","423",1
"757","741",1
"757","744",2
"757","1237",1
"757","1240",1
"734","541",1
"734","757",5
"734","552",1
"734","1091",1
"734","1092",2
"734","546",4
"734","547",3
"734","550",2
"734","1093",4
"734","1094",3
"734","3",2
"734","611",3
"734","545",2
"734","544",1
"734","1237",1
"734","1240",1
"552","757",1
"552","1091",2
"552","1092",1
"552","546",1
"552","547",1
"552","550",2
"552","1093",2
"552","1094",2
"552","3",1
"552","689",1
"552","545",2
"552","423",1
"552","741",1
"552","744",1
"552","1237",1
"552","1240",1
"1091","757",1
"1091","734",1
"1091","1092",1
"1091","546",1
"1091","550",1
"1091","1093",1
"1091","1094",1
"1091","611",1
"1091","689",1
"1091","744",1
"1091","1237",1
"1092","541",1
"1092","757",1
"1092","734",2
"1092","552",3
"1092","1091",1
"1092","546",5
"1092","547",4
"1092","550",1
"1092","1093",3
"1092","1094",2
"1092","3",1
"1092","689",2
"1092","545",4
"1092","423",1
"1092","741",1
"1092","544",1
"1092","1237",1
"546","541",1
"546","757",4
"546","734",3
"546","552",2
"546","1091",3
"546","1092",4
"546","547",5
"546","550",4
"546","1093",6
"546","1094",3
"546","3",4
"546","611",2
"546","689",1
"546","545",5
"546","423",2
"546","741",1
"546","744",2
"546","544",1
"546","1237",1
"546","1240",3
"547","541",3
"547","757",5
"547","734",2
"547","552",1
"547","1091",1
"547","1092",6
"547","546",7
"547","550",2
"547","1093",4
"547","1094",1
"547","3",1
"547","611",1
"547","689",1
"547","545",3
"547","423",1
"547","741",1
"547","744",2
"547","1237",1
"547","1240",5
"550","541",1
"550","757",2
"550","734",3
"550","552",2
"550","1091",2
"550","1092",1
"550","546",4
"550","547",1
"550","1093",5
"550","1094",2
"550","3",2
"550","611",1
"550","689",2
"550","545",4
"550","423",1
"550","741",1
"550","1237",1
"1093","541",1
"1093","757",3
"1093","734",3
"1093","552",4
"1093","1091",2
"1093","1092",2
"1093","546",6
"1093","547",3
"1093","550",3
"1093","1094",3
"1093","3",3
"1093","611",3
"1093","689",1
"1093","545",4
"1093","423",1
"1093","741",1
"1093","744",2
"1093","1237",2
"1093","1240",2
"1094","757",1
"1094","734",2
"1094","552",2
"1094","1091",1
"1094","1092",1
"1094","546",3
"1094","547",2
"1094","550",1
"1094","1093",3
"1094","3",1
"1094","611",3
"1094","689",1
"1094","545",2
"1094","741",1
"1094","744",1
"1094","1240",1
"3","757",1
"3","734",1
"3","552",1
"3","1091",1
"3","546",3
"3","547",1
"3","550",1
"3","1093",2
"3","1094",1
"3","611",1
"3","689",1
"3","545",4
"3","744",1
"3","544",1
"3","1237",1
"3","1240",1
"3","423",1
"611","541",2
"611","757",3
"611","734",3
"611","552",1
"611","1091",1
"611","546",3
"611","547",1
"611","550",1
"611","1093",4
"611","1094",6
"611","3",2
"611","689",1
"611","744",1
"611","545",2
"611","1240",1
"611","1237",2
"611","423",1
"689","757",1
"689","734",1
"689","1091",1
"689","1092",1
"689","546",2
"689","550",2
"689","1093",1
"689","3",1
"689","545",1
"545","541",1
"545","757",2
"545","734",2
"545","552",2
"545","1091",1
"545","1092",4
"545","546",4
"545","547",3
"545","550",2
"545","1093",4
"545","1094",2
"545","3",2
"545","689",1
"545","744",2
"545","1237",1
"545","611",2
"545","1240",3
"423","757",1
"423","734",1
"423","552",1
"423","1092",1
"423","546",1
"423","547",1
"423","550",1
"423","1093",1
"423","741",1
"423","1094",1
"423","3",1
"423","611",1
"423","544",1
"741","734",1
"741","552",1
"741","1092",1
"741","545",1
"741","546",1
"741","547",1
"741","550",1
"741","1093",1
"741","423",1
"741","1237",1
"744","757",1
"744","552",1
"744","3",1
"744","1092",1
"744","545",2
"744","546",3
"744","547",2
"744","1093",3
"744","611",1
"744","1240",3
"744","1094",1
"544","757",1
"544","3",1
"544","1092",1
"1237","757",1
"1237","552",1
"1237","3",1
"1237","545",1
"1237","546",1
"1237","547",1
"1237","1093",1
"1237","611",1
"1237","1240",1
"1237","423",1
"1237","741",1
"1240","541",1
"1240","757",1
"1240","744",3
"1240","552",1
"1240","611",1
"1240","545",7
"1240","546",3
"1240","547",3
"1240","1093",2
"1240","1094",2
"1240","3",1
"1240","1237",1
"1240","734",1
"1240","423",1
