Source,Target,Weight
"25","5",12
"25","7",7
"25","9",7
"25","11",9
"25","17",1
"25","18",3
"25","24",4
"25","33",33
"25","85",2
"25","88",8
"25","14",5
"25","16",2
"25","19",2
"25","21",19
"25","91",2
"25","27",3
"25","20",2
"5","25",4
"5","7",2
"5","9",1
"5","11",1
"5","17",5
"5","18",27
"5","24",3
"5","33",20
"5","85",8
"5","88",17
"5","14",2
"5","16",3
"5","21",1
"5","91",1
"7","25",1
"7","5",3
"7","9",22
"7","11",22
"7","17",11
"7","18",2
"7","24",5
"7","33",9
"7","85",17
"7","88",20
"7","14",9
"7","16",2
"7","19",8
"7","21",9
"7","27",9
"7","20",14
"9","5",1
"9","7",10
"9","11",4
"9","17",5
"9","18",3
"9","24",3
"9","33",8
"9","85",6
"9","88",8
"9","14",5
"9","19",7
"9","21",4
"9","27",4
"9","91",1
"9","20",5
"11","25",4
"11","5",2
"11","7",33
"11","9",11
"11","17",16
"11","18",1
"11","24",3
"11","33",16
"11","85",24
"11","88",4
"11","14",12
"11","19",9
"11","21",32
"11","27",1
"11","91",1
"11","20",10
"17","5",9
"17","7",9
"17","9",4
"17","11",8
"17","18",7
"17","24",5
"17","33",5
"17","85",23
"17","88",34
"17","14",8
"17","16",3
"17","19",2
"17","21",1
"17","91",2
"17","27",7
"17","20",1
"18","25",1
"18","5",17
"18","7",3
"18","9",3
"18","11",1
"18","17",18
"18","24",27
"18","33",1
"18","85",8
"18","88",19
"18","14",4
"18","16",1
"18","19",1
"24","5",4
"24","7",1
"24","9",8
"24","17",7
"24","18",17
"24","33",7
"24","85",13
"24","88",19
"24","14",2
"24","16",5
"24","19",1
"24","21",1
"24","91",2
"24","27",11
"24","20",5
"33","25",18
"33","5",19
"33","7",20
"33","9",9
"33","11",16
"33","17",11
"33","18",4
"33","24",8
"33","85",31
"33","88",39
"33","14",12
"33","16",5
"33","19",5
"33","21",45
"33","27",35
"33","20",31
"33","1",3
"85","25",2
"85","5",9
"85","7",21
"85","9",5
"85","11",19
"85","17",17
"85","18",6
"85","24",10
"85","33",30
"85","88",29
"85","14",16
"85","16",7
"85","19",10
"85","21",27
"85","91",1
"85","27",14
"85","20",12
"88","25",5
"88","5",9
"88","7",21
"88","9",12
"88","11",22
"88","17",22
"88","18",25
"88","24",25
"88","33",32
"88","85",22
"88","14",24
"88","16",5
"88","19",6
"88","21",17
"88","91",1
"88","27",22
"88","20",7
"14","7",11
"14","9",10
"14","11",9
"14","17",10
"14","18",4
"14","24",2
"14","33",9
"14","85",15
"14","88",12
"14","16",1
"14","19",10
"14","21",4
"14","91",1
"14","27",18
"14","20",3
"16","25",3
"16","5",2
"16","7",2
"16","17",3
"16","24",5
"16","33",6
"16","85",5
"16","88",3
"16","14",1
"16","19",3
"16","91",2
"16","27",1
"19","5",1
"19","7",4
"19","9",8
"19","11",3
"19","17",5
"19","24",5
"19","85",4
"19","88",2
"19","14",7
"19","20",3
"19","27",6
"21","25",11
"21","7",17
"21","16",1
"21","17",4
"21","18",1
"21","19",2
"21","24",2
"21","33",38
"21","85",19
"21","88",19
"21","14",13
"21","91",3
"21","9",9
"21","11",30
"21","27",7
"21","20",21
"21","1",4
"91","7",1
"91","16",2
"91","24",5
"91","88",2
"91","9",1
"91","27",1
"27","25",3
"27","7",15
"27","9",9
"27","11",1
"27","14",37
"27","17",12
"27","33",30
"27","85",16
"27","88",20
"27","24",15
"27","91",2
"27","19",6
"27","20",11
"27","1",1
"20","25",1
"20","7",13
"20","9",3
"20","11",16
"20","14",7
"20","19",7
"20","21",17
"20","27",15
"20","33",24
"20","88",8
"20","17",3
"20","24",5
"20","85",4
"20","1",1
"1","11",1
"1","14",1
"1","19",1
"1","20",1
"1","21",5
"1","27",2
"1","33",4
