Source,Target,Weight
"1866","1867",1
"1866","1868",3
"1866","1869",8
"1866","837",1
"1866","1870",1
"1866","1871",1
"1866","1872",3
"1866","685",1
"1866","45",1
"1866","1873",2
"1866","1874",1
"1866","1875",1
"1866","1957",1
"1866","524",5
"1866","1236",1
"1867","1866",1
"1867","1868",4
"1867","1869",9
"1867","837",2
"1867","1870",2
"1867","1871",3
"1867","1872",1
"1867","685",5
"1867","45",1
"1867","1873",1
"1867","1874",3
"1867","1512",1
"1867","1875",6
"1867","1957",1
"1867","524",2
"1867","1236",1
"1868","1866",3
"1868","1867",7
"1868","1869",9
"1868","837",2
"1868","1870",2
"1868","1871",3
"1868","1872",3
"1868","685",9
"1868","45",4
"1868","1873",6
"1868","1874",5
"1868","1875",2
"1868","1957",1
"1868","524",5
"1868","1980",1
"1869","1866",7
"1869","1867",8
"1869","1868",9
"1869","837",1
"1869","1870",1
"1869","1871",4
"1869","1872",4
"1869","685",8
"1869","45",1
"1869","1873",2
"1869","1874",4
"1869","1875",3
"1869","1957",3
"1869","524",4
"1869","1236",1
"837","1867",1
"837","1868",1
"837","1870",1
"837","1871",1
"837","685",2
"837","45",2
"837","1873",2
"837","1874",2
"837","1875",1
"837","1957",1
"837","524",1
"1870","1867",2
"1870","1868",2
"1870","1869",1
"1870","837",1
"1870","1871",1
"1870","1872",1
"1870","685",1
"1870","45",1
"1870","1873",2
"1870","1874",1
"1870","1512",1
"1870","1875",1
"1870","1957",1
"1871","1866",1
"1871","1867",4
"1871","1868",3
"1871","1869",4
"1871","837",1
"1871","1870",1
"1871","1872",3
"1871","685",4
"1871","45",2
"1871","1873",4
"1871","1874",2
"1871","1875",2
"1871","524",2
"1871","1980",1
"1872","1866",2
"1872","1867",1
"1872","1868",4
"1872","1869",5
"1872","837",1
"1872","1870",1
"1872","1871",3
"1872","685",1
"1872","45",1
"1872","1873",4
"1872","1874",2
"1872","1875",1
"685","1867",8
"685","1868",6
"685","1869",3
"685","837",2
"685","1870",2
"685","1871",3
"685","1872",1
"685","45",9
"685","1873",7
"685","1874",4
"685","1875",5
"685","524",4
"685","1957",1
"685","1980",2
"685","1236",1
"45","1866",1
"45","1867",2
"45","1868",2
"45","1869",1
"45","837",2
"45","1870",1
"45","1871",2
"45","1872",1
"45","685",6
"45","1873",5
"45","1874",3
"45","1875",2
"45","524",1
"45","1957",1
"45","1980",1
"45","1236",1
"1873","1866",1
"1873","1867",1
"1873","1868",3
"1873","1869",1
"1873","837",3
"1873","1870",1
"1873","1871",4
"1873","1872",3
"1873","685",4
"1873","45",5
"1873","1874",2
"1873","1875",2
"1873","1957",1
"1873","1958",1
"1873","524",4
"1873","1236",1
"1874","1866",1
"1874","1867",3
"1874","1868",5
"1874","1869",3
"1874","837",1
"1874","1870",2
"1874","1871",2
"1874","1872",1
"1874","685",4
"1874","45",2
"1874","1873",3
"1874","1512",1
"1874","1875",2
"1874","1957",1
"1874","524",2
"1874","1980",2
"1874","1236",1
"1512","1868",1
"1512","685",1
"1512","1875",1
"1512","1958",1
"1875","1867",8
"1875","1868",1
"1875","1869",1
"1875","837",1
"1875","1870",1
"1875","1871",1
"1875","1872",1
"1875","685",5
"1875","45",2
"1875","1873",2
"1875","1874",2
"1875","1957",1
"1875","1958",1
"1875","1980",1
"1875","1236",1
"1957","1867",1
"1957","1868",1
"1957","1869",2
"1957","1874",1
"1957","837",1
"1957","1872",1
"1957","1875",1
"1957","1873",2
"1957","524",2
"1957","685",2
"1957","45",2
"1957","1236",1
"1958","1957",1
"524","1866",3
"524","1867",2
"524","1868",6
"524","1869",7
"524","1957",1
"524","837",1
"524","685",4
"524","45",2
"524","1875",1
"524","1873",3
"524","1874",2
"524","1871",2
"524","1980",1
"524","1236",1
"1980","1866",1
"1980","1867",1
"1980","524",1
"1980","1868",2
"1980","1869",1
"1980","685",1
"1980","45",2
"1980","1874",1
"1980","1871",1
"1980","1236",1
"1980","1512",1
"1236","524",1
"1236","1868",1
"1236","1957",1
"1236","685",2
"1236","45",1
"1236","1875",1
"1236","1873",1
