Source,Target,Weight
"1","4",2
"1","9",2
"1","15",9
"1","17",4
"1","19",1
"1","20",1
"1","23",7
"1","44",12
"1","3",3
"4","1",1
"4","9",4
"4","17",12
"4","18",5
"4","19",4
"4","20",10
"4","23",5
"4","44",5
"4","6",5
"4","36",5
"4","60",2
"9","4",3
"9","15",3
"9","17",6
"9","18",7
"9","19",1
"9","20",4
"9","21",4
"9","23",4
"9","3",1
"15","1",4
"15","4",3
"15","17",11
"15","18",10
"15","19",3
"15","20",3
"15","21",11
"15","23",13
"15","44",8
"15","6",4
"15","3",1
"17","4",7
"17","9",5
"17","15",7
"17","18",15
"17","19",9
"17","20",18
"17","21",9
"17","23",27
"17","44",3
"17","6",11
"17","36",2
"17","3",6
"18","4",6
"18","9",6
"18","15",6
"18","17",11
"18","19",1
"18","20",7
"18","21",20
"18","23",13
"18","44",1
"18","6",12
"18","60",4
"18","3",1
"18","10",1
"19","4",1
"19","9",2
"19","17",10
"19","18",6
"19","20",8
"19","21",3
"19","23",4
"19","44",1
"19","6",6
"19","3",1
"20","4",7
"20","9",4
"20","17",11
"20","18",3
"20","19",12
"20","21",2
"20","23",12
"20","44",4
"20","6",4
"20","3",5
"21","1",1
"21","9",4
"21","15",7
"21","17",6
"21","18",32
"21","19",8
"21","20",2
"21","23",11
"21","44",1
"21","6",4
"21","60",1
"23","1",3
"23","4",6
"23","9",5
"23","15",8
"23","17",18
"23","18",28
"23","19",6
"23","20",16
"23","21",22
"23","44",8
"23","6",12
"23","36",1
"23","3",5
"44","1",4
"44","4",13
"44","9",1
"44","15",8
"44","17",16
"44","18",1
"44","19",3
"44","20",5
"44","21",1
"44","23",14
"44","6",5
"44","36",1
"44","3",9
"6","4",3
"6","9",2
"6","15",5
"6","17",7
"6","18",15
"6","19",8
"6","20",4
"6","21",7
"6","23",10
"6","44",3
"6","36",2
"6","60",1
"6","3",2
"36","4",4
"36","18",1
"36","23",1
"36","44",1
"36","6",1
"60","4",1
"60","21",1
"60","23",1
"60","44",1
"60","6",1
"60","36",1
"3","1",2
"3","6",2
"3","17",10
"3","18",1
"3","19",2
"3","20",7
"3","23",2
"3","44",3
"3","36",1
