Source,Target,Weight
"14","15",6
"14","17",1
"14","18",3
"14","19",3
"14","20",2
"14","21",3
"14","22",2
"14","23",1
"14","25",1
"14","26",2
"15","16",2
"15","17",3
"15","18",10
"15","19",8
"15","20",2
"15","21",2
"15","22",1
"15","23",4
"15","24",3
"15","25",2
"15","26",1
"16","14",1
"16","15",3
"16","17",2
"16","18",2
"16","19",8
"16","20",2
"16","21",3
"16","22",2
"16","23",7
"16","24",3
"16","25",3
"16","26",1
"16","27",1
"17","16",2
"17","18",2
"17","21",2
"17","23",3
"17","24",2
"17","25",1
"17","26",1
"18","14",3
"18","15",8
"18","16",1
"18","17",2
"18","19",5
"18","20",10
"18","21",3
"18","22",5
"18","23",5
"18","24",5
"18","25",4
"18","26",2
"18","27",1
"19","14",4
"19","15",7
"19","16",7
"19","17",2
"19","18",3
"19","20",2
"19","21",2
"19","22",2
"19","23",5
"19","24",9
"19","25",3
"19","26",1
"19","27",2
"20","15",3
"20","16",2
"20","17",2
"20","18",4
"20","19",1
"20","21",3
"20","22",8
"20","23",3
"20","24",3
"20","25",1
"20","26",4
"20","27",2
"21","15",1
"21","16",3
"21","17",2
"21","18",2
"21","19",1
"21","20",2
"21","22",3
"21","23",2
"21","24",2
"22","15",2
"22","16",1
"22","17",2
"22","18",8
"22","20",6
"22","21",4
"22","23",3
"22","24",5
"23","14",1
"23","15",4
"23","16",8
"23","17",2
"23","18",5
"23","19",4
"23","20",4
"23","21",3
"23","22",2
"23","24",2
"23","25",2
"23","26",2
"23","27",1
"24","15",4
"24","16",2
"24","17",1
"24","18",4
"24","19",4
"24","20",7
"24","21",4
"24","22",5
"24","23",4
"24","26",1
"24","27",1
"25","14",2
"25","15",1
"25","16",2
"25","18",2
"25","19",3
"25","20",2
"25","21",2
"25","23",2
"25","26",1
"25","27",1
"26","14",1
"26","17",1
"26","18",3
"26","19",1
"26","20",4
"26","23",2
"26","24",1
"26","25",1
"26","27",1
"27","16",2
"27","17",1
"27","19",1
"27","25",2
"27","26",1
