Source,Target,Weight
"25","3",5
"25","5",5
"25","8",6
"25","19",2
"25","7",10
"25","11",1
"3","25",4
"3","5",6
"3","8",9
"3","9",1
"3","10",13
"3","14",12
"3","15",11
"3","17",4
"3","19",2
"3","20",1
"3","7",1
"3","11",3
"3","18",1
"3","24",3
"3","2",7
"3","21",1
"3","23",9
"3","37",2
"3","22",1
"5","25",5
"5","3",4
"5","8",18
"5","9",4
"5","10",50
"5","14",6
"5","15",18
"5","17",5
"5","19",12
"5","20",3
"5","7",3
"5","11",2
"5","18",25
"5","24",9
"5","2",30
"5","23",25
"5","21",3
"5","4",4
"5","22",6
"5","12",1
"8","3",4
"8","5",7
"8","9",14
"8","10",34
"8","14",2
"8","15",18
"8","17",5
"8","19",16
"8","20",2
"8","7",5
"8","11",7
"8","18",9
"8","2",45
"8","23",1
"8","21",12
"8","6",2
"8","22",3
"8","12",2
"9","3",1
"9","8",10
"9","10",14
"9","14",2
"9","15",5
"9","17",1
"9","19",3
"9","20",3
"9","7",2
"9","11",1
"9","18",2
"9","12",1
"9","24",1
"9","2",1
"9","23",1
"9","21",13
"9","4",2
"9","22",5
"9","12",2
"9","37",1
"10","3",5
"10","5",20
"10","8",50
"10","9",25
"10","14",33
"10","15",55
"10","17",13
"10","19",18
"10","20",13
"10","7",21
"10","11",15
"10","18",38
"10","24",2
"10","2",37
"10","23",6
"10","21",32
"10","6",1
"10","4",4
"10","22",20
"10","12",6
"10","37",4
"14","25",2
"14","3",11
"14","5",5
"14","9",8
"14","10",22
"14","15",25
"14","17",7
"14","19",1
"14","20",11
"14","7",3
"14","11",23
"14","18",13
"14","24",4
"14","2",2
"14","23",24
"14","21",26
"14","4",12
"14","22",24
"14","12",2
"14","37",5
"15","3",20
"15","5",25
"15","8",17
"15","9",6
"15","10",62
"15","14",33
"15","17",5
"15","19",10
"15","20",9
"15","7",3
"15","11",19
"15","18",19
"15","24",2
"15","2",18
"15","23",15
"15","21",13
"15","6",3
"15","4",1
"15","4",2
"15","22",6
"15","37",1
"17","3",1
"17","5",2
"17","8",5
"17","9",1
"17","10",8
"17","14",7
"17","15",4
"17","19",3
"17","20",3
"17","7",2
"17","11",1
"17","18",2
"17","2",7
"17","21",3
"19","25",1
"19","5",10
"19","8",26
"19","10",14
"19","15",8
"19","17",1
"19","20",1
"19","7",1
"19","11",3
"19","18",8
"19","24",1
"19","4",1
"19","2",4
"19","21",1
"20","3",1
"20","5",2
"20","8",7
"20","10",9
"20","14",18
"20","15",6
"20","17",4
"20","19",1
"20","18",2
"20","2",2
"20","23",2
"20","12",1
"20","22",3
"7","5",1
"7","8",7
"7","9",2
"7","10",15
"7","14",2
"7","15",5
"7","17",4
"7","19",1
"7","20",1
"7","11",6
"7","18",6
"7","24",1
"7","2",6
"7","21",2
"11","5",1
"11","8",2
"11","9",1
"11","10",18
"11","14",25
"11","15",13
"11","17",4
"11","7",5
"11","18",6
"11","23",2
"11","21",5
"11","6",7
"11","4",1
"11","22",1
"11","12",1
"18","25",1
"18","3",4
"18","5",29
"18","8",12
"18","9",3
"18","10",42
"18","14",27
"18","15",21
"18","17",3
"18","19",6
"18","20",4
"18","7",6
"18","11",9
"18","24",3
"18","2",21
"18","23",8
"18","21",9
"18","6",3
"18","4",7
"18","22",9
"18","12",2
"12","10",1
"12","11",2
"24","2",7
"24","5",15
"24","7",1
"24","8",2
"24","10",4
"24","11",1
"24","14",5
"24","15",5
"24","18",7
"24","23",19
"24","9",2
"24","17",3
"24","21",7
"24","22",4
"24","12",3
"24","19",3
"24","3",1
"2","24",3
"2","5",22
"2","7",3
"2","8",48
"2","10",17
"2","11",3
"2","14",3
"2","15",17
"2","18",13
"2","23",5
"2","9",4
"2","17",6
"2","21",10
"2","4",1
"2","22",7
"2","19",3
"2","3",8
"2","20",1
"23","24",9
"23","2",4
"23","5",21
"23","8",3
"23","10",42
"23","11",12
"23","14",28
"23","15",17
"23","18",15
"23","9",2
"23","21",9
"23","6",5
"23","3",4
"23","37",1
"23","12",2
"23","20",2
"23","22",1
"21","24",2
"21","2",4
"21","5",4
"21","7",2
"21","8",9
"21","10",16
"21","11",3
"21","14",34
"21","15",17
"21","18",4
"21","23",6
"21","9",14
"21","17",2
"21","4",3
"21","22",10
"21","19",1
"21","3",4
"21","37",7
"21","20",3
"6","7",1
"6","10",3
"6","11",6
"6","15",1
"6","18",2
"6","23",4
"6","4",1
"6","17",1
"4","24",1
"4","15",1
"4","17",1
"4","24",9
"4","5",11
"4","9",3
"4","10",1
"4","14",6
"4","18",4
"4","21",3
"4","22",2
"4","17",1
"4","15",2
"4","19",1
"22","2",8
"22","5",3
"22","8",3
"22","9",4
"22","10",14
"22","14",12
"22","18",6
"22","21",12
"22","12",2
"22","15",2
"22","20",2
"12","2",4
"12","5",1
"12","8",2
"12","9",2
"12","10",2
"12","14",1
"12","21",2
"12","22",1
"12","11",1
"12","20",3
"37","3",1
"37","8",1
"37","10",3
"37","14",4
"37","21",4
"37","23",1
