Source,Target,Weight
"219","1876",1
"219","1877",4
"219","1878",1
"219","303",1
"219","1879",2
"219","1880",1
"219","1881",2
"219","1882",1
"219","1883",2
"219","1884",1
"219","1885",2
"219","1511",2
"219","1959",5
"219","1961",5
"219","1962",2
"219","1963",5
"219","2001",1
"219","2002",2
"1876","219",1
"1876","1877",1
"1876","1878",1
"1876","1880",1
"1876","1882",2
"1876","1883",2
"1876","1884",1
"1876","1885",1
"1877","219",5
"1877","1876",1
"1877","1878",1
"1877","303",2
"1877","1879",2
"1877","1880",5
"1877","1881",5
"1877","1882",1
"1877","1883",2
"1877","1884",1
"1877","1885",4
"1877","1959",4
"1877","1962",1
"1877","1963",3
"1877","2002",1
"1878","1876",1
"1878","1877",1
"1878","303",2
"1878","1879",2
"1878","1880",1
"1878","1881",1
"1878","1882",1
"1878","1883",1
"1878","1884",1
"1878","1885",2
"1878","1511",1
"1878","1886",1
"303","1877",3
"303","1878",3
"303","1879",6
"303","1880",4
"303","1881",5
"303","1883",2
"303","1884",1
"303","1885",4
"303","1511",2
"303","1886",1
"303","1959",1
"303","1960",1
"303","1961",1
"303","1962",3
"303","1963",5
"303","2002",1
"1879","1876",1
"1879","1877",1
"1879","1878",1
"1879","303",7
"1879","1880",3
"1879","1881",6
"1879","1882",1
"1879","1883",3
"1879","1884",1
"1879","1885",6
"1879","1511",1
"1879","1959",1
"1879","1960",1
"1879","1962",4
"1879","1963",4
"1879","2001",1
"1879","2002",1
"1880","1876",1
"1880","1877",2
"1880","1878",2
"1880","303",3
"1880","1879",3
"1880","1881",3
"1880","1882",1
"1880","1883",2
"1880","1884",1
"1880","1885",3
"1880","1511",1
"1880","1886",1
"1880","1959",1
"1880","1961",1
"1880","1962",2
"1880","1963",3
"1881","219",2
"1881","1877",4
"1881","1878",1
"1881","303",7
"1881","1879",7
"1881","1880",3
"1881","1882",2
"1881","1884",1
"1881","1885",5
"1881","1886",1
"1881","1959",1
"1881","1960",1
"1881","1961",5
"1881","1962",5
"1881","1963",9
"1881","2001",1
"1882","219",2
"1882","1876",2
"1882","1877",2
"1882","1878",1
"1882","1879",1
"1882","1880",1
"1882","1881",3
"1882","1883",1
"1882","1884",1
"1882","1886",1
"1883","219",2
"1883","1876",1
"1883","1877",1
"1883","1878",2
"1883","303",3
"1883","1879",3
"1883","1880",4
"1883","1881",1
"1883","1882",1
"1883","1884",2
"1883","1885",2
"1883","1511",2
"1883","1959",2
"1883","1960",1
"1883","1962",2
"1883","1963",2
"1883","2002",1
"1884","1876",1
"1884","1877",1
"1884","303",1
"1884","1879",1
"1884","1880",1
"1884","1881",1
"1884","1882",1
"1884","1883",1
"1884","1885",1
"1884","1961",1
"1885","219",1
"1885","1876",1
"1885","1877",4
"1885","1878",1
"1885","303",6
"1885","1879",4
"1885","1880",3
"1885","1881",3
"1885","1882",1
"1885","1883",3
"1885","1511",1
"1885","1959",4
"1885","1960",1
"1885","1961",2
"1885","1962",2
"1885","1963",11
"1885","2002",1
"1511","1877",1
"1511","1878",1
"1511","303",2
"1511","1879",1
"1511","1880",1
"1511","1881",1
"1511","1883",1
"1511","1885",1
"1511","1962",1
"1511","1963",2
"1511","2001",1
"1886","1878",1
"1886","1885",1
"1959","219",5
"1959","1960",1
"1959","1885",4
"1959","303",1
"1959","1879",2
"1959","1961",5
"1959","1881",2
"1959","1962",1
"1959","1883",4
"1959","1963",6
"1959","1877",6
"1959","1880",1
"1959","1511",1
"1959","2002",2
"1960","1959",1
"1960","1885",1
"1960","303",1
"1960","1879",1
"1960","1881",1
"1960","1962",1
"1960","1883",1
"1960","1963",1
"1961","219",4
"1961","1959",4
"1961","1885",4
"1961","303",1
"1961","1879",1
"1961","1881",6
"1961","1962",1
"1961","1963",5
"1961","1880",1
"1962","219",1
"1962","1959",1
"1962","1885",4
"1962","303",5
"1962","1879",5
"1962","1961",1
"1962","1881",4
"1962","1883",1
"1962","1963",3
"1962","1877",1
"1962","1880",1
"1962","1884",1
"1962","1878",1
"1962","2001",1
"1963","219",3
"1963","1959",7
"1963","1960",1
"1963","1885",6
"1963","303",5
"1963","1879",5
"1963","1961",5
"1963","1881",12
"1963","1962",4
"1963","1883",4
"1963","1877",4
"1963","1880",2
"1963","1884",1
"1963","1511",1
"1963","2002",1
"2001","1879",1
"2001","1881",1
"2001","1962",1
"2002","219",1
"2002","1959",1
"2002","1885",1
"2002","303",1
"2002","1879",1
"2002","1883",2
"2002","1963",1
"2002","1511",1
