Source,Target,Weight
"1","7",10
"1","10",2
"1","11",6
"1","12",9
"1","15",16
"1","17",5
"1","18",47
"1","22",10
"1","25",59
"1","34",11
"1","3",1
"1","23",4
"1","27",6
"1","24",7
"1","8",11
"1","5",3
"1","4",3
"1","16",13
"7","1",3
"7","10",21
"7","11",15
"7","12",8
"7","15",17
"7","17",8
"7","18",1
"7","22",12
"7","25",3
"7","34",6
"7","3",3
"7","23",9
"7","27",10
"7","24",11
"7","8",3
"7","5",1
"7","4",7
"10","1",7
"10","7",17
"10","11",41
"10","12",3
"10","15",30
"10","17",20
"10","18",20
"10","22",31
"10","25",11
"10","34",45
"10","3",4
"10","23",24
"10","27",16
"10","24",5
"10","8",10
"10","5",2
"10","4",1
"10","28",3
"10","31",5
"10","32",1
"10","16",3
"11","1",4
"11","7",20
"11","10",35
"11","12",8
"11","15",22
"11","17",30
"11","18",23
"11","22",21
"11","25",12
"11","34",26
"11","3",2
"11","23",23
"11","27",28
"11","24",3
"11","8",8
"11","4",8
"11","5",1
"11","31",3
"12","7",6
"12","10",4
"12","11",8
"12","15",5
"12","17",2
"12","18",1
"12","22",7
"12","25",2
"12","34",1
"12","23",17
"12","27",8
"12","8",4
"15","1",17
"15","7",19
"15","10",38
"15","11",28
"15","12",5
"15","17",11
"15","18",13
"15","22",14
"15","25",36
"15","34",7
"15","3",2
"15","23",24
"15","27",23
"15","24",3
"15","8",32
"15","28",5
"15","31",8
"17","1",2
"17","7",2
"17","10",15
"17","11",23
"17","15",8
"17","18",12
"17","22",10
"17","25",2
"17","34",28
"17","3",2
"17","23",8
"17","27",10
"17","24",1
"17","8",3
"17","5",6
"17","4",3
"17","28",1
"17","16",8
"18","1",49
"18","7",14
"18","10",24
"18","11",31
"18","12",11
"18","15",11
"18","17",28
"18","22",34
"18","25",39
"18","34",64
"18","3",1
"18","23",30
"18","27",33
"18","24",1
"18","8",4
"18","4",18
"18","28",9
"18","31",2
"18","16",1
"22","1",13
"22","7",10
"22","10",43
"22","11",17
"22","15",31
"22","17",19
"22","18",42
"22","25",28
"22","34",53
"22","3",3
"22","23",23
"22","27",17
"22","8",14
"22","5",9
"22","24",10
"22","28",4
"22","31",14
"22","16",6
"25","1",28
"25","7",14
"25","10",23
"25","11",22
"25","12",16
"25","15",53
"25","17",2
"25","18",40
"25","22",19
"25","34",6
"25","3",6
"25","23",35
"25","27",21
"25","24",12
"25","8",28
"25","5",11
"25","4",1
"25","16",2
"34","1",7
"34","7",17
"34","10",42
"34","11",33
"34","12",4
"34","15",12
"34","17",31
"34","18",72
"34","22",46
"34","25",14
"34","3",1
"34","23",21
"34","27",25
"34","8",4
"34","5",4
"34","28",5
"34","31",4
"34","16",1
"3","7",4
"3","10",4
"3","11",5
"3","15",1
"3","17",2
"3","22",2
"3","34",2
"3","27",6
"3","24",1
"3","4",1
"23","1",7
"23","7",16
"23","10",16
"23","11",23
"23","12",6
"23","15",42
"23","17",14
"23","18",23
"23","22",26
"23","25",37
"23","34",16
"23","3",4
"23","27",24
"23","24",4
"23","8",34
"23","5",2
"23","4",9
"23","31",1
"23","16",8
"27","1",7
"27","7",16
"27","10",29
"27","11",18
"27","12",4
"27","15",13
"27","17",17
"27","18",36
"27","22",15
"27","25",17
"27","34",30
"27","23",14
"27","24",2
"27","8",17
"27","5",3
"27","4",9
"27","31",5
"27","16",2
"24","1",3
"24","7",6
"24","10",3
"24","11",3
"24","12",2
"24","15",4
"24","23",2
"24","25",10
"24","27",3
"24","34",2
"24","3",2
"24","17",8
"24","5",2
"24","22",12
"24","8",7
"24","31",4
"8","1",8
"8","7",8
"8","10",10
"8","11",16
"8","12",7
"8","15",24
"8","18",7
"8","22",24
"8","23",22
"8","25",9
"8","34",6
"8","17",10
"8","27",15
"8","5",1
"8","24",5
"8","3",2
"8","4",1
"8","31",3
"8","16",7
"5","1",7
"5","7",1
"5","12",2
"5","17",3
"5","22",5
"5","23",2
"5","25",10
"5","27",5
"5","34",14
"5","3",1
"5","10",3
"5","11",1
"5","18",1
"4","1",2
"4","7",4
"4","8",1
"4","11",6
"4","18",16
"4","23",1
"4","25",1
"4","27",5
"4","17",7
"4","34",2
"4","22",1
"4","32",1
"28","8",2
"28","10",1
"28","11",4
"28","15",3
"28","18",7
"28","22",3
"28","27",1
"28","31",20
"28","34",3
"28","4",1
"28","17",3
"28","23",2
"31","28",13
"31","8",9
"31","10",1
"31","11",3
"31","15",12
"31","18",9
"31","22",8
"31","24",6
"31","27",6
"31","34",1
"31","17",1
"31","23",5
"32","4",1
"16","8",11
"16","10",1
"16","17",4
"16","22",3
"16","23",4
"16","27",1
"16","11",1
