Source,Target,Weight
"1405","1406",2
"1405","1407",3
"1405","1408",1
"1405","1409",1
"1405","1410",1
"1405","1411",1
"1405","1412",5
"1405","1415",3
"1405","1416",2
"1405","1417",1
"1405","1453",1
"1406","1407",1
"1406","1408",3
"1406","1409",4
"1406","1410",3
"1406","1411",2
"1406","1413",4
"1406","1414",3
"1406","1415",5
"1406","1416",3
"1406","1418",3
"1406","1453",4
"1407","1406",1
"1407","1409",2
"1407","1410",2
"1407","1414",4
"1407","1416",4
"1407","1453",1
"1408","1406",7
"1408","1407",3
"1408","1409",6
"1408","1410",3
"1408","1411",8
"1408","1412",5
"1408","1413",3
"1408","1414",7
"1408","1415",6
"1408","1416",10
"1408","1417",2
"1408","1418",2
"1408","1453",2
"1409","1406",2
"1409","1407",2
"1409","1408",7
"1409","1410",1
"1409","1411",5
"1409","1413",1
"1409","1414",2
"1409","1415",3
"1409","1416",1
"1409","1418",1
"1410","1406",4
"1410","1407",1
"1410","1408",2
"1410","1411",3
"1410","1412",3
"1410","1413",2
"1410","1414",3
"1410","1416",1
"1410","1418",2
"1411","1405",1
"1411","1406",1
"1411","1407",4
"1411","1408",6
"1411","1409",7
"1411","1410",2
"1411","1412",5
"1411","1413",3
"1411","1414",5
"1411","1416",4
"1411","1417",1
"1411","1418",1
"1411","1454",1
"1412","1405",4
"1412","1406",2
"1412","1408",10
"1412","1409",1
"1412","1410",2
"1412","1411",7
"1412","1413",2
"1412","1414",1
"1412","1415",6
"1412","1416",6
"1412","1417",2
"1412","1418",4
"1412","1453",1
"1413","1406",4
"1413","1407",2
"1413","1408",2
"1413","1409",1
"1413","1411",1
"1413","1412",2
"1413","1414",3
"1413","1415",4
"1413","1417",1
"1413","1453",1
"1414","1406",1
"1414","1407",2
"1414","1408",6
"1414","1409",4
"1414","1410",4
"1414","1411",3
"1414","1413",3
"1414","1415",1
"1414","1416",2
"1414","1417",2
"1414","1418",1
"1414","1453",2
"1415","1405",6
"1415","1406",7
"1415","1408",5
"1415","1409",1
"1415","1410",1
"1415","1412",8
"1415","1413",3
"1415","1416",2
"1415","1418",3
"1415","1453",1
"1416","1406",3
"1416","1407",2
"1416","1408",6
"1416","1409",1
"1416","1410",3
"1416","1411",4
"1416","1412",3
"1416","1413",1
"1416","1414",3
"1416","1415",4
"1416","1417",2
"1416","1418",2
"1416","1453",3
"1416","1454",1
"1417","1408",1
"1417","1410",1
"1417","1411",2
"1417","1413",1
"1417","1414",3
"1417","1416",2
"1417","1418",1
"1417","1453",1
"1417","1454",1
"1418","1406",4
"1418","1407",1
"1418","1408",3
"1418","1410",3
"1418","1411",2
"1418","1412",4
"1418","1414",2
"1418","1415",2
"1418","1416",3
"1453","1406",2
"1453","1407",2
"1453","1408",3
"1453","1416",1
"1453","1409",1
"1453","1411",3
"1453","1412",2
"1453","1414",2
"1453","1415",2
"1453","1413",2
"1453","1417",1
"1454","1453",1
