Id,TeamNumber,Name
382,32,"Christian Abbiati"
831,4,"Sulley Muntari"
384,5,"Philippe Mexès"
386,10,"Kevin-Prince Boateng"
659,17,"Cristián Zapata"
660,18,"Riccardo Montolivo"
661,20,"Ignazio Abate"
390,28,"Urby Emanuelson"
391,34,"Nigel de Jong"
667,45,"Mario Balotelli"
395,92,"Stephan El Shaarawy"
914,16,"Andrea Poli"
833,78,"M'Baye Niang"
383,2,"Mattia De Sciglio"
736,7,"Robinho"
385,23,"Antonio Nocerino"
478,9,"Alessandro Matri"
1191,14,"Valter Birsa"
393,21,"Kévin Constant"
1192,81,"Cristian Zaccardo"
717,1,"Marco Amelia"
675,22,"Kaká"
389,25,"Daniele Bonera"
524,13,"Adil Rami"
432,15,"Michael Essien"
1276,27,"Adel Taarabt"
387,11,"Giampaolo Pazzini"
