Id,TeamNumber,Name
571,1,"David de Gea"
572,2,"Rafael"
573,3,"Patrice Evra"
574,6,"Jonny Evans"
575,7,"Antonio Valencia"
576,15,"Nemanja Vidić"
577,16,"Michael Carrick"
578,17,"Nani"
579,20,"Robin van Persie"
580,22,"Paul Scholes"
581,26,"Shinji Kagawa"
582,14,"Javier Hernández"
583,19,"Danny Welbeck"
584,24,"Darren Fletcher"
626,5,"Rio Ferdinand"
627,8,"Anderson"
628,10,"Wayne Rooney"
629,23,"Tom Cleverley"
630,31,"Scott Wootton"
693,28,"Alexander Büttner"
694,11,"Ryan Giggs"
745,12,"Chris Smalling"
761,13,"Anders Lindegaard"
762,4,"Phil Jones"
763,25,"Nick Powell"
764,18,"Ashley Young"
765,27,"Federico Macheda"
766,41,"Joshua King"
