TeamNumber,Name
20,"Sergio Romero"
7,"Memphis Depay"
8,"Juan Mata"
10,"Wayne Rooney"
11,"Adnan Januzaj"
12,"Chris Smalling"
16,"Michael Carrick"
17,"Daley Blind"
23,"Luke Shaw"
28,"Morgan Schneiderlin"
36,"Matteo Darmian"
14,"Javier Hernández"
27,"Marouane Fellaini"
31,"Schweinsteiger"
21,"Ander Herrera"
18,"Ashley Young"
1,"David de Gea"
9,"Anthony Martial"
5,"Marcos Rojo"
25,"Antonio Valencia"
4,"Phil Jones"
44,"Andreas Pereira"
35,"Jesse Lingard"
30,"Guillermo Varela"
22,"Nick Powell"
43,"Borthwick-Jackson"
