Id,TeamNumber,Name
867,1,"Claudio Bravo"
868,2,"Carlos Martínez"
869,5,"Markel Bergara"
870,6,"Iñigo Martínez"
871,7,"Antoine Griezmann"
872,8,"Haris Seferovic"
873,10,"Xabier Prieto"
874,11,"Carlos Vela"
875,17,"David Zurutuza"
876,19,"Liassine Cadamuro"
877,24,"Alberto De La Bella"
878,14,"Rubén Pardo"
879,18,"Gonzalo Castro"
880,25,"Esteban Granero"
1053,10,"Xabi Prieto"
1054,15,"Ion Ansotegi"
1055,22,"Daniel Estrada"
1056,4,"Gorka Elustondo"
1057,18,"Chori Castro"
1077,3,"Mikel González"
1078,22,"Dani Estrada"
1079,24,"Alberto de la Bella"
1080,9,"Imanol Agirretxe"
1257,15,"Jon Ansotegi"
1258,23,"Javier Ros"
