ID	Name	2013	2014	2015	2016
841	Cristian Tello	FC Barcelona	FC Barcelona	FC Porto	FC Porto	
840	David Beckham	Paris Saint-Germain	null	null	null	
839	Łukasz Fabiański	Arsenal FC	Arsenal FC	null	null	
838	Jérémy Mathieu	Valencia CF	null	FC Barcelona	FC Barcelona	
837	Kevin Gameiro	Paris Saint-Germain	null	null	Sevilla FC	
836	Thiago Motta	Paris Saint-Germain	Paris Saint-Germain	Paris Saint-Germain	Paris Saint-Germain	
835	Luca Marrone	Juventus	null	null	null	
834	Nuri Şahin	Borussia Dortmund	Borussia Dortmund	Borussia Dortmund	null	
833	M'Baye Niang	AC Milan	AC Milan	null	null	
832	Bakaye Traoré	AC Milan	null	null	null	
831	Sulley Muntari	AC Milan	AC Milan	null	null	
830	Lucas Piazón	Málaga CF	null	null	null	
829	Antunes	Málaga CF	null	null	FC Dynamo Kyiv	
828	Júlio Baptista	Málaga CF	null	null	null	
827	Marat Izmailov	FC Porto	FC Porto	null	null	
826	Taison	FC Shakhtar Donetsk	FC Shakhtar Donetsk	FC Shakhtar Donetsk	FC Shakhtar Donetsk	
825	Dmytro Chygrynskiy	FC Shakhtar Donetsk	null	null	null	
824	Diego López	Real Madrid CF	null	null	null	
823	Lucas	Paris Saint-Germain	Paris Saint-Germain	Paris Saint-Germain	Paris Saint-Germain	
822	Sergio Canales	Valencia CF	null	null	null	
821	Simone Padoin	Juventus	Juventus	Juventus	null	
820	Nicolas Anelka	Juventus	null	null	null	
819	Federico Peluso	Juventus	Juventus	null	null	
818	Vasile Maftei	CFR 1907 Cluj	null	null	null	
817	Carlão	SC Braga	FC Paços de Ferreira	APOEL FC	APOEL FC	
816	Quim	SC Braga	null	null	null	
815	Rafinha	FC Barcelona	null	null	null	
814	Carles Planas	FC Barcelona	null	null	null	
813	Sergi Roberto	FC Barcelona	FC Barcelona	FC Barcelona	FC Barcelona	
812	Thiago Alcántara	FC Barcelona	FC Bayern München	FC Bayern München	FC Bayern München	
811	José Manuel Pinto	FC Barcelona	FC Barcelona	null	null	
810	Lassad Nouioui	Celtic FC	null	null	null	
809	Pablo Piatti	Valencia CF	null	null	Valencia CF	
808	Diego Contento	FC Bayern München	FC Bayern München	null	null	
807	Rafinha	FC Bayern München	FC Bayern München	FC Barcelona	FC Bayern München	
806	Daniel Van Buyten	FC Bayern München	FC Bayern München	null	null	
805	Kamal Issah	FC Nordsjælland	null	null	null	
804	Henrik Kildentoft	FC Nordsjælland	null	null	null	
803	Mark Gundelach	FC Nordsjælland	null	null	null	
802	Paulo Ferreira	Chelsea FC	null	null	null	
801	Oriol Romeu	Chelsea FC	null	null	null	
800	Jose Rodriguez	Real Madrid CF	null	null	null	
799	Álvaro Morata	Real Madrid CF	Real Madrid CF	Juventus	Juventus	
798	Nacho	Real Madrid CF	Real Madrid CF	Real Madrid CF	Real Madrid CF	
797	Ricardo Carvalho	Real Madrid CF	null	AS Monaco	AS Monaco	
796	Antonio Adán	Real Madrid CF	null	null	null	
795	Scott Sinclair	Manchester City FC	null	null	null	
794	Leonardo Bittencourt	Borussia Dortmund	null	null	null	
793	Oliver Kirch	Borussia Dortmund	Borussia Dortmund	Borussia Dortmund	null	
792	Andrea Petagna	AC Milan	null	null	null	
791	Djamel Mesbah	AC Milan	null	null	null	
790	Ronald Vargas	RSC Anderlecht	RSC Anderlecht	null	null	
789	Carlos Kameni	Málaga CF	null	null	null	
788	Martin Angha	Arsenal FC	null	null	null	
787	Jernade Meade	Arsenal FC	null	null	null	
786	Marouane Chamakh	Arsenal FC	null	null	null	
785	Sébastien Squillaci	Arsenal FC	null	null	null	
784	Tomáš Rosický	Arsenal FC	Arsenal FC	Arsenal FC	null	
783	Chinedu Obasi	FC Schalke 04	FC Schalke 04	FC Schalke 04	null	
782	Sead Kolasinac	FC Schalke 04	FC Schalke 04	null	null	
781	Christoph Metzelder	FC Schalke 04	null	null	null	
780	Timo Hildebrand	FC Schalke 04	FC Schalke 04	null	null	
779	Romain Pitau	Montpellier Hérault SC	null	null	null	
778	Jonathan Ligali	Montpellier Hérault SC	null	null	null	
777	Raúl Albiol	Real Madrid CF	SSC Napoli	SSC Napoli	null	
776	Fábio Coentrão	Real Madrid CF	Real Madrid CF	Real Madrid CF	null	
775	Juanmi	Málaga CF	null	null	null	
774	Fernando Canesin	RSC Anderlecht	null	null	null	
773	Jonas Martin	Montpellier Hérault SC	null	null	null	
772	Mathieu Deplagne	Montpellier Hérault SC	null	null	null	
771	Abdel El Kaoutari	Montpellier Hérault SC	null	null	null	
770	Wojciech Szczęsny	Arsenal FC	Arsenal FC	Arsenal FC	AS Roma	
769	Sylvain Armand	Paris Saint-Germain	null	null	null	
768	Andriy Bogdanov	FC Dynamo Kyiv	null	null	null	
767	Dudu	FC Dynamo Kyiv	null	null	null	
766	Joshua King	Manchester United FC	null	null	null	
765	Federico Macheda	Manchester United FC	null	null	null	
764	Ashley Young	Manchester United FC	Manchester United FC	null	Manchester United FC	
763	Nick Powell	Manchester United FC	null	null	Manchester United FC	
762	Phil Jones	Manchester United FC	Manchester United FC	null	Manchester United FC	
761	Anders Lindegaard	Manchester United FC	null	null	null	
760	Engin Baytar	Galatasaray A.Ş.	null	null	null	
759	Gerard Deulofeu	FC Barcelona	null	null	null	
758	Martín Montoya	FC Barcelona	FC Barcelona	FC Barcelona	null	
757	Luisão	SL Benfica	SL Benfica	SL Benfica	SL Benfica	
756	Mario Gomez	FC Bayern München	null	null	null	
755	Laurent Bonnart	LOSC Lille	null	null	null	
754	Gianni Bruno	LOSC Lille	null	null	null	
753	Steeve Elana	LOSC Lille	null	null	null	
752	Eduardo	FC Shakhtar Donetsk	FC Shakhtar Donetsk	null	GNK Dinamo Zagreb	
751	Henrikh Mkhitaryan	FC Shakhtar Donetsk	Borussia Dortmund	Borussia Dortmund	null	
750	Taras Stepanenko	FC Shakhtar Donetsk	FC Shakhtar Donetsk	FC Shakhtar Donetsk	FC Shakhtar Donetsk	
749	Oguzhan Aynaoglu	FC Nordsjælland	null	null	null	
748	César Azpilicueta	Chelsea FC	Chelsea FC	Chelsea FC	Chelsea FC	
747	Martín Cáceres	Juventus	Juventus	Juventus	null	
746	Cris	Galatasaray A.Ş.	null	null	null	
745	Chris Smalling	Manchester United FC	Manchester United FC	null	Manchester United FC	
744	Rúben Amorim	SC Braga	SL Benfica	null	null	
743	Tony Watt	Celtic FC	null	R. Standard de Liège	null	
742	Miku	Celtic FC	null	null	null	
741	André Gomes	SL Benfica	SL Benfica	null	Valencia CF	
740	Artem Kontsevoi	FC BATE Borisov	null	null	null	
739	Dmitri Baga	FC BATE Borisov	null	FC BATE Borisov	FC BATE Borisov	
738	Anatoliy Tymoshchuk	FC Bayern München	FC Zenit	FC Zenit	null	
737	Viktor Fischer	AFC Ajax	AFC Ajax	null	null	
736	Robinho	AC Milan	AC Milan	null	null	
735	Danny	FC Zenit	FC Zenit	FC Zenit	FC Zenit	
734	Ljubomir Fejsa	Olympiacos FC	SL Benfica	null	SL Benfica	
733	Jack Wilshere	Arsenal FC	Arsenal FC	Arsenal FC	null	
732	Bacary Sagna	Arsenal FC	Arsenal FC	Manchester City FC	Manchester City FC	
731	André Castro	FC Porto	null	null	null	
730	Abdoulaye Ba	FC Porto	null	null	null	
729	Jackson Martínez	FC Porto	FC Porto	FC Porto	Club Atlético de Madrid	
728	Lukman Haruna	FC Dynamo Kyiv	null	null	null	
727	Marco Ruben	FC Dynamo Kyiv	null	null	null	
726	Artem Milevskiy	FC Dynamo Kyiv	null	null	null	
725	Adrien Rabiot	Paris Saint-Germain	Paris Saint-Germain	Paris Saint-Germain	Paris Saint-Germain	
